WND
"310,5,N,0026,5"
"350,5,N,0015,5"
"290,5,N,0021,5"
"290,1,N,0021,1"
"999,9,C,0000,5"
"160,5,N,0015,5"
"160,5,N,0015,5"
"150,5,N,0015,5"
"130,5,N,0015,5"
"130,5,N,0015,5"
"170,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"140,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,1"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,1"
"999,9,C,0000,5"
"999,9,C,0000,5"
"260,5,N,0015,5"
"330,5,N,0021,5"
"320,5,N,0015,5"
"140,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,1"
"999,9,V,0015,5"
"999,9,9,9999,9"
"090,5,N,0015,5"
"100,5,N,0015,5"
"080,5,N,0015,5"
"999,9,C,0000,5"
"150,5,N,0041,5"
"150,5,N,0051,5"
"150,1,N,0051,1"
"220,5,N,0026,5"
"210,5,N,0021,5"
"250,5,N,0015,5"
"280,5,N,0015,5"
"280,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,1"
"300,5,N,0021,5"
"310,5,N,0015,5"
"310,5,N,0015,5"
"280,5,N,0015,5"
"290,5,N,0015,5"
"280,5,N,0021,5"
"260,5,N,0015,5"
"270,5,N,0036,5"
"320,5,N,0036,5"
"010,5,N,0046,5"
"360,5,N,0046,5"
"360,1,N,0046,1"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,1"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,9,9999,9"
"140,5,N,0021,5"
"999,9,C,0000,5"
"130,5,N,0031,5"
"110,5,N,0026,5"
"120,5,N,0015,5"
"130,5,N,0021,5"
"140,5,N,0021,5"
"140,1,N,0021,1"
"110,5,N,0026,5"
"130,5,N,0015,5"
"130,5,N,0031,5"
"130,5,N,0026,5"
"999,9,C,0000,5"
"120,5,N,0031,5"
"150,5,N,0026,5"
"150,1,N,0026,1"
"140,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"240,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,1"
"999,9,C,0000,5"
"280,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,1"
"090,5,N,0021,5"
"999,9,9,9999,9"
"130,5,N,0021,5"
"150,5,N,0021,5"
"160,5,N,0026,5"
"999,9,C,0000,5"
"150,5,N,0015,5"
"150,1,N,0015,1"
"999,9,C,0000,5"
"999,9,C,0000,5"
"130,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,1"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"140,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,1"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,1"
"999,9,C,0000,5"
"999,9,9,9999,9"
"130,5,N,0015,5"
"050,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"140,5,N,0021,5"
"140,1,N,0021,1"
"999,9,C,0000,5"
"100,5,N,0021,5"
"090,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,1"
"999,9,C,0000,5"
"999,9,C,0000,5"
"280,5,N,0021,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,1"
"999,9,C,0000,5"
"999,9,C,0000,5"
"150,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"160,5,N,0026,5"
"160,1,N,0026,1"
"160,5,N,0015,5"
"999,9,9,9999,9"
"120,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,1"
"300,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"300,5,N,0015,5"
"300,1,N,0015,1"
"320,5,N,0015,5"
"270,5,N,0021,5"
"280,5,N,0026,5"
"300,5,N,0026,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"120,5,N,0036,5"
"180,5,V,0036,5"
"180,1,N,0036,1"
"170,5,N,0057,5"
"180,5,N,0015,5"
"120,5,N,0051,5"
"110,5,N,0046,5"
"140,5,N,0046,5"
"160,5,N,0036,5"
"160,1,N,0036,1"
"120,5,N,0031,5"
"999,9,9,9999,9"
"110,5,N,0046,5"
"120,5,N,0057,5"
"140,5,N,0093,5"
"150,5,N,0077,5"
"140,5,N,0072,5"
"140,1,N,0072,1"
"130,5,N,0077,5"
"080,5,N,0031,5"
"280,5,N,0134,5"
"290,5,N,0046,5"
"240,5,N,0098,5"
"260,5,N,0072,5"
"260,5,N,0160,5"
"260,1,N,0160,2"
"270,5,N,0175,5"
"280,5,N,0093,5"
"280,5,N,0108,5"
"270,5,N,0113,5"
"260,5,N,0077,5"
"270,5,N,0046,5"
"270,1,N,0046,1"
